file	nodes	width	hdens	capr	low upp	gap	time
small_testset/caprara10.d	1	10	2	3	3	5	40	0.078
small_testset/caprara10.d	1	20	2	3	3	5	40	0.078
small_testset/caprara10.d	1	50	2	3	3	5	40	0.14
small_testset/caprara10.d	1	100	2	3	3	5	40	0.186
small_testset/caprara10.d	1	200	2	3	3	5	40	0.14
small_testset/caprara10.d	1	500	2	3	3	5	40	0.296
small_testset/caprara10.d	1	800	2	3	4	5	20	0.373
small_testset/caprara10.d	1	1000	2	3	4	4	0	0.436
small_testset/caprara10.d	1	2000	2	3	4	4	0	0.607
small_testset/caprara10.d	1	3000	2	3	4	4	0	0.577
small_testset/caprara10.d	1	4000	2	3	4	4	0	0.67
small_testset/caprara10.d	1	5000	2	3	4	4	0	0.686
small_testset/caprara10.d	1	10000	2	3	4	4	0	0.686
